"speaker","word","의미","동음이의","type","분석1","분석2","성조","지역","age","gender","N","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3","a1","a2","a3","b1","b2","b3","c1","c2","c3","d1","d2","d3","Wz","w1","w2","w3","w4","W3","W2","w1f","w2f","w3f","w4f","weight","weigth_comb","weigth_comb2","weigth_comb3","weigth_comb4"
"LHB","오징어","","","고유어3","1","","LHL","부산",20,"여",3,"ㅇ","ㅗ","","ㅈ","ㅣ","ㅇ","ㅇ","ㅓ","","","","","son","sg","light","lax","","son","son","sg","light","","","","0100",0,1,0,0,"010","01","light","heavy","light","light",3,"light-heavy-light","light-heavy","X-heavy-light","light-heavy-light-light"
"LHB","종아리","","","고유어3","1","","LHL","부산",20,"여",3,"ㅈ","ㅗ","ㅇ","ㅇ","ㅏ","","ㄹ","ㅣ","","","","","lax","sg","son","son","sg","light","son","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","마무리","","","고유어3","1","","LHL","부산",20,"여",3,"ㅁ","ㅏ","","ㅁ","ㅜ","","ㄹ","ㅣ","","","","","son","sg","light","son","sg","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","달구지","","","고유어3","1","","LHL","부산",20,"여",3,"ㄷ","ㅏ","ㄹ","ㄱ","ㅜ","","ㅈ","ㅣ","","","","","lax","sg","son","lax","sg","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","산딸기","","","고유어3","","","HLL","부산",20,"여",3,"ㅅ","ㅏ","ㄴ","ㄸ","ㅏ","ㄹ","ㄱ","ㅣ","","","","","fri","sg","son","tsasp","sg","son","lax","","light","","","","1100",1,1,0,0,"110","11","heavy","heavy","light","light",7,"heavy-heavy-light","heavy-heavy","X-heavy-light","heavy-heavy-light-light"
"LHB","쪽쩨비","","","고유어3","1","","LHL","부산",20,"여",3,"ㅉ","ㅗ","ㄱ","ㅉ","ㅔ","","ㅂ","ㅣ","","","","","tsasp","sg","obs","tsasp","sg","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","방망이","","","고유어3","1","","","부산",20,"여",3,"ㅂ","ㅏ","ㅇ","ㅁ","ㅏ","ㅇ","ㅇ","ㅣ","","","","","lax","sg","son","son","sg","son","son","","light","","","","1100",1,1,0,0,"110","11","heavy","heavy","light","light",7,"heavy-heavy-light","heavy-heavy","X-heavy-light","heavy-heavy-light-light"
"LHB","방맹이","~","","고유어3","1","","LHL","부산",20,"여",3,"ㅂ","ㅏ","ㅇ","ㅁ","ㅐ","ㅇ","ㅇ","ㅣ","","","","","lax","sg","son","son","sg","son","son","","light","","","","1100",1,1,0,0,"110","11","heavy","heavy","light","light",7,"heavy-heavy-light","heavy-heavy","X-heavy-light","heavy-heavy-light-light"
"LHB","뾰루지","","","고유어3","1","","LHL","부산",20,"여",3,"ㅃ","ㅛ","","ㄹ","ㅜ","","ㅈ","ㅣ","","","","","tsasp","dp","light","son","sg","light","lax","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","비둘기","","","고유어3","1","","LHL","부산",20,"여",3,"ㅂ","ㅣ","","ㄷ","ㅜ","ㄹ","ㄱ","ㅣ","","","","","lax","","light","lax","sg","son","lax","","light","","","","0100",0,1,0,0,"010","01","light","heavy","light","light",3,"light-heavy-light","light-heavy","X-heavy-light","light-heavy-light-light"
"LHB","건데기","","","고유어3","1","","","부산",20,"여",3,"ㄱ","ㅓ","ㄴ","ㄷ","ㅔ","","ㄱ","ㅣ","","","","","lax","sg","son","lax","sg","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","저고리","","","고유어3","1","","LHL","부산",20,"여",3,"ㅈ","ㅓ","","ㄱ","ㅗ","","ㄹ","ㅣ","","","","","lax","sg","light","lax","sg","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","궁뎅이","","","고유어3","1","","LHH","부산",20,"여",3,"ㄱ","ㅜ","ㅇ","ㄷ","ㅔ","ㅇ","ㅇ","ㅣ","","","","","lax","sg","son","lax","sg","son","son","","light","","","","1100",1,1,0,0,"110","11","heavy","heavy","light","light",7,"heavy-heavy-light","heavy-heavy","X-heavy-light","heavy-heavy-light-light"
"LHB","난쟁이","","","고유어3","1","","LHL","부산",20,"여",3,"ㄴ","ㅏ","ㄴ","ㅈ","ㅐ","ㅇ","ㅇ","ㅣ","","","","","son","sg","son","lax","sg","son","son","","light","","","","1100",1,1,0,0,"110","11","heavy","heavy","light","light",7,"heavy-heavy-light","heavy-heavy","X-heavy-light","heavy-heavy-light-light"
"LHB","개구리","","","고유어3","1","","","부산",20,"여",3,"ㄱ","ㅐ","","ㄱ","ㅜ","","ㄹ","ㅣ","","","","","lax","sg","light","lax","sg","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","인절미","","","고유어3","1","","LHL","부산",20,"여",3,"ㅇ","ㅣ","ㄴ","ㅈ","ㅓ","ㄹ","ㅁ","ㅣ","","","","","son","","son","lax","sg","son","son","","light","","","","1100",1,1,0,0,"110","11","heavy","heavy","light","light",7,"heavy-heavy-light","heavy-heavy","X-heavy-light","heavy-heavy-light-light"
"LHB","거드름","","","고유어3","1","","","부산",20,"여",3,"ㄱ","ㅓ","","ㄷ","ㅡ","","ㄹ","ㅡ","ㅁ","","","","lax","sg","light","lax","sg","light","son","sg","son","","","","0010",0,0,1,0,"001","00","light","light","heavy","light",2,"light-light-heavy","light-light","X-light-heavy","light-light-heavy-light"
"LHB","도토리","","","고유어3","1","","LHL","부산",20,"여",3,"ㄷ","ㅗ","","ㅌ","ㅗ","","ㄹ","ㅣ","","","","","lax","sg","light","tsasp","sg","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
